InvestorID,PortfolioValue,NetInvested,InvestorName,AnnualIncome,RiskProfile,TransactionCount
INV004,17041.35,16783.75,Neha Gupta,650000,Moderate,5
INV001,15408.2,15176.8,Aarav Sharma,850000,Moderate,5
INV006,14759.2,14585.0,Ananya Iyer,720000,Moderate,5
INV007,11185.9,11097.75,Vikram Singh,2100000,High,5
INV009,9745.1,9546.95,Arjun Reddy,550000,High,4
INV010,9602.1,9539.8,Sneha Kapoor,1300000,Low,5
INV002,8721.9,8531.65,Priya Nair,1200000,Low,5
INV003,5816.5,5741.2,Rahul Verma,1500000,High,5
INV005,1158.1999999999998,1138.8000000000006,Karthik Raj,980000,Low,5
INV008,608.3499999999995,590.8000000000002,Meera Krishnan,1450000,Moderate,5
