FundID,Date,NAV
F101,2026-01-01,24.5
F101,2026-01-02,24.62
F101,2026-01-03,24.71
F101,2026-01-04,24.68
F101,2026-01-05,24.8
F101,2026-01-06,24.95
F101,2026-01-07,25.02
F101,2026-01-08,24.98
F101,2026-01-09,25.15
F101,2026-01-10,25.22
F102,2026-01-01,18.75
F102,2026-01-02,18.82
F102,2026-01-03,18.9
F102,2026-01-04,18.86
F102,2026-01-06,19.1
F102,2026-01-07,19.18
F102,2026-01-08,19.24
F102,2026-01-09,19.31
F102,2026-01-10,19.4
F103,2026-01-01,42.1
F103,2026-01-02,42.25
F103,2026-01-03,42.3
F103,2026-01-04,42.18
F103,2026-01-05,42.45
F103,2026-01-06,42.6
F103,2026-01-07,42.78
F103,2026-01-08,42.85
F103,2026-01-09,42.95
F103,2026-01-10,43.05
F104,2026-01-01,31.8
F104,2026-01-02,31.95
F104,2026-01-03,32.05
F104,2026-01-04,31.98
F104,2026-01-05,32.2
F104,2026-01-06,32.35
F104,2026-01-07,32.48
F104,2026-01-08,32.6
F104,2026-01-09,32.72
F104,2026-01-10,32.88
F105,2026-01-01,56.25
F105,2026-01-02,56.4
F105,2026-01-03,56.55
F105,2026-01-04,56.48
F105,2026-01-05,56.7
F105,2026-01-06,56.95
F105,2026-01-07,57.12
F105,2026-01-08,57.05
F105,2026-01-09,57.3
F105,2026-01-10,57.48
